"gene_symbol","direction","module","retained"
"SYT7","up","7",FALSE
"GPR182","up","6",FALSE
"MYADM","up","3",FALSE
"PLAAT3","up","6",FALSE
"PDE2A","up","7",FALSE
"CMKLR1","up","5",FALSE
"FBLIM1","up","1",FALSE
"NOSTRIN","up","8",FALSE
"TPM4","up","5",FALSE
"LRRN4CL","up","1",FALSE
"SFN","up","6",FALSE
"FSTL3","up","6",FALSE
"BASP1","up","1",FALSE
"TRANK1","up","4",FALSE
"MTMR11","up","10",FALSE
"PLAUR","up","6",FALSE
"ACVRL1","up","3",FALSE
"NOS3","up","2",FALSE
"CLDN3","up","6",FALSE
"VIM","up","2",FALSE
"MARCKSL1","up","6",FALSE
"VSIR","up","3",FALSE
"CD14","up","1",FALSE
"ANXA2","up","3",FALSE
"ICAM1","up","3",FALSE
"ANGPTL4","up","2",FALSE
"XPO6","up","2",FALSE
"CRISPLD2","up","1",FALSE
"NOTCH4","up","7",FALSE
"GPR153","up","6",FALSE
"RASD1","up","2",FALSE
"CAPN5","up","2",FALSE
"CD1D","up","5",FALSE
"ZYX","up","3",FALSE
"PLD2","up","3",FALSE
"GFOD1","up","9",FALSE
"SOCS1","up","6",FALSE
"SERPINE2","up","9",FALSE
"ANXA1","up","5",FALSE
"TSPAN14","up","3",FALSE
"LOC101100942","up","4",FALSE
"EFHD2","up","3",FALSE
"CEMIP","up","8",FALSE
"RGS4","up","1",FALSE
"AURKB","up","6",FALSE
"OAS2","up","4",FALSE
"MOV10L1","up","6",FALSE
"DNASE1L1","up","3",FALSE
"FCHSD1","up","2",FALSE
"CASP4","up","4",FALSE
"ACTN1","up","1",FALSE
"FAM110B","up","6",FALSE
"ZSWIM4","up","9",FALSE
"SLC11A1","up","1",FALSE
"CD209","up","1",FALSE
"GALNT15","up","7",FALSE
"CRLF2","up","1",FALSE
"JPT1","up","4",FALSE
"PDGFA","up","4",FALSE
"SLC16A5","up","2",FALSE
"NEXN","up","9",FALSE
"CASKIN2","up","7",FALSE
"S1PR1","up","10",FALSE
"EVA1C","up","9",FALSE
"RASSF1","up","3",FALSE
"FABP4","up","8",FALSE
"LAIR1","up","1",FALSE
"MPZL1","up","4",FALSE
"ITGA5","up","3",FALSE
"RNF31","up","4",FALSE
"ZNF687","up","2",FALSE
"STAT6","up","4",FALSE
"VAMP1","up","3",FALSE
"LOC101098498","up","2",FALSE
"CDC42EP1","up","5",FALSE
"DNASE1L3","up","6",FALSE
"SEMA4B","up","2",FALSE
"ETV7","up","2",FALSE
"CNN2","up","3",FALSE
"KLF2","up","3",FALSE
"LCNL1","up","5",FALSE
"TMEM123","up","2",FALSE
"MYORG","up","6",FALSE
"MCM5","up","6",FALSE
"RELB","up","6",FALSE
"LDAF1","up","1",FALSE
"LRFN4","up","3",FALSE
"TTC39A","up","1",FALSE
"ICOSLG","up","3",FALSE
"GNAI2","up","3",FALSE
"CDKN2B","up","4",FALSE
"PHF11","up","4",FALSE
"TMEM151A","up","1",FALSE
"PPARD","up","5",FALSE
"POLD1","up","6",FALSE
"TRIM35","up","1",FALSE
"CEBPB","up","3",FALSE
"GLIPR2","up","3",FALSE
"MAP3K6","up","6",FALSE
"LOC102901560","up","5",FALSE
"LOC101091023","up","4",FALSE
"PDE1B","up","1",FALSE
"FHL1","up","9",FALSE
"TRIB3","up","1",FALSE
"HYAL2","up","5",FALSE
"PTPN5","up","5",FALSE
"LOC101081428","up","6",FALSE
"IL15RA","up","1",FALSE
"LOC101083444","up","1",FALSE
"RIN1","up","3",FALSE
"ITPKC","up","2",FALSE
"TMEM100","up","11",FALSE
"MEX3A","up","2",FALSE
"ADAM15","up","3",FALSE
"TNKS1BP1","up","5",FALSE
"MYO1C","up","5",FALSE
"CHST1","up","10",FALSE
"ZBTB46","up","8",FALSE
"SLC9A1","up","2",FALSE
"GLIPR1","up","1",FALSE
"PIEZO1","up","6",FALSE
"DOC2B","up","5",FALSE
"SNAI2","up","9",FALSE
"CPT1C","up","10",FALSE
"CHST11","up","4",FALSE
"LIG1","up","1",FALSE
"GRK3","up","1",FALSE
"CLIC1","up","3",FALSE
"SMIM6","up","10",FALSE
"S100A6","up","3",FALSE
"PODN","up","5",FALSE
"ELK3","up","8",FALSE
"LOC101080845","up","6",FALSE
"PIK3R6","up","2",FALSE
"ACTG1","up","6",FALSE
"CDR2L","up","9",FALSE
"KLHL26","up","6",FALSE
"SOAT1","up","4",FALSE
"LOC105259618","up","3",FALSE
"TRPV6","up","2",FALSE
"KANK3","up","5",FALSE
"MMD","up","1",FALSE
"ADORA2A","up","8",FALSE
"PLK3","up","9",FALSE
"UNK","up","8",FALSE
"CAPG","up","5",FALSE
"MGLL","up","6",FALSE
"KRT19","up","6",FALSE
"IL4R","up","3",FALSE
"CACNB1","up","10",FALSE
"S100A11","up","3",FALSE
"NRP2","up","8",FALSE
"FYN","up","11",FALSE
