"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0517.1","STAT1::STAT2",0.798082918751394,1.56825298126189,"medulla_early","up","promoter",FALSE,0.0270238373759916,0.938329362011193,0.099434494930946,"STAT1"
"MA0652.1","IRF8",0.952380258048892,0.671183924532035,"medulla_early","up","promoter",FALSE,0.213214175586148,1.2014900297991,0.0750354753981774,"IRF8"
"MA0137.3","STAT1",0.652303075045521,0.565090326298347,"medulla_early","up","promoter",FALSE,0.272213508868584,0.938329362011193,0.099434494930946,"STAT1"
"MA0772.1","IRF7",0.75654702084285,0.565090326298347,"medulla_early","up","promoter",FALSE,0.272213508868584,0.856907633305489,0.191051905123836,"IRF7"
"MA1418.1","IRF3",0.840519592406816,0.565090326298347,"medulla_early","up","promoter",FALSE,0.272213508868584,0.349421878511716,0.2132767738104,"IRF3"
"MA1523.1","MSANTD3",0.359212921161906,0.565090326298347,"medulla_early","up","promoter",FALSE,0.272213508868584,0.248554700230878,0.519032440099622,"MSANTD3"
"MA0628.1","POU6F1",0.766716552875752,0.368427865753955,"medulla_early","up","promoter",FALSE,0.428126523458542,0.529922106867129,0.138645572763802,"POU6F1"
"MA0653.1","IRF9",0.780008186198382,0.368427865753955,"medulla_early","up","promoter",FALSE,0.428126523458542,1.16627744633299,0.0137129769988415,"IRF9"
"MA0050.2","IRF1",0.513230039949853,0.223368116111935,"medulla_early","up","promoter",FALSE,0.597904585124805,1.50356995512709,0.0225323428242336,"IRF1"
"MA0051.1","IRF2",0.299938388253501,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.222137248725054,0.312243359118917,"IRF2"
"MA0139.1","CTCF",0.228495426319566,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.000874132390872084,0.99774228554015,"CTCF"
"MA0138.2","REST",0.353011056811485,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.0949623807216522,0.838218397343616,"REST"
"MA0163.1","PLAG1",0.163245312602566,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.512497636806037,0.469952279887831,"PLAG1"
"MA0476.1","FOS",0.462259565855161,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.833230264158733,0.452583737017769,"FOS"
"MA0497.1","MEF2C",0.352363145524292,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.476418078339048,0.0988007420919421,"MEF2C"
"MA0507.1","POU2F2",0.58109923094749,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.58318370744051,0.0707840992975005,"POU2F2"
"MA0144.2","STAT3",0.202277231604184,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.685142979052263,0.0314097015086705,"STAT3"
"MA0597.1","THAP1",0.241388874777127,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.166508034133676,0.54507088152635,"THAP1"
"MA0646.1","GCM1",0.161642779659389,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-2.60173798292748,0.0339258113759447,"GCM1"
"MA0658.1","LHX6",0.361757697836199,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.602436613097864,0.138833355641819,"LHX6"
"MA0661.1","MEOX1",0.346624474723726,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.858034580860494,0.537875935159819,"MEOX1"
"MA0692.1","TFEB",0.288592842300075,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.35687010369081,0.128464536476835,"TFEB"
"MA0716.1","PRRX1",0.399104494245003,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.274791206147191,0.606864661009051,"PRRX1"
"MA0722.1","VAX1",0.672361252785452,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-3.69962148324859,0.0769881227341495,"VAX1"
"MA0752.1","ZNF410",0.321928094887362,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.0971555037232443,0.657836257419547,"ZNF410"
"MA0768.1","LEF1",0.336318352691521,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.650872478596595,0.163893619637216,"LEF1"
"MA0778.1","NFKB2",0.266648981693099,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.526483561813297,0.0632738265647081,"NFKB2"
"MA0785.1","POU2F1",0.65389511756455,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.071411983141451,0.891977029241261,"POU2F1"
"MA0788.1","POU3F3",0.500774061636881,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.360497149355814,0.240326728177945,"POU3F3"
"MA0793.1","POU6F2",0.436587941101446,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.34916812417096,0.171923904386873,"POU6F2"
"MA0886.1","EMX2",0.39056330336552,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.274876648127181,0.349287937840425,"EMX2"
"MA0895.1","HMBOX1",0.354729021089083,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.600179551191433,0.154888826804182,"HMBOX1"
"MA0899.1","HOXA10",0.380415320864415,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.0473590996798983,0.864104889838253,"HOXA10"
"MA0903.1","HOXB3",0.405365376094283,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.895044025448823,0.119912758918788,"HOXB3"
"MA0852.2","FOXK1",0.288798445130814,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.211564287873506,0.36352655384297,"FOXK1"
"MA0104.4","MYCN",0.202117033214387,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.981398426171153,0.0515085411314552,"MYCN"
"MA1114.1","PBX3",0.198474432669735,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.290254427274215,0.575778526369282,"PBX3"
"MA0099.3","FOS::JUN",0.397485801643304,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.833230264158733,0.452583737017769,"FOS"
"MA1127.1","FOSB::JUN",0.463397839008869,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.96844474611884,0.411848333434714,"FOSB"
"MA1130.1","FOSL2::JUN",0.330239426085563,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.11642145947387,0.0267171782287447,"FOSL2"
"MA1134.1","FOS::JUNB",0.377565585864799,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.46763912831928,0.0679259533057009,"JUNB"
"MA1135.1","FOSB::JUNB",0.449486222396201,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.46763912831928,0.0679259533057009,"JUNB"
"MA1137.1","FOSL1::JUNB",0.301534837174108,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.9734779914701,0.0610657843457058,"FOSL1"
"MA1138.1","FOSL2::JUNB",0.500366725101667,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.11642145947387,0.0267171782287447,"FOSL2"
"MA1139.1","FOSL2::JUNB(var.2)",0.536335144791674,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.11642145947387,0.0267171782287447,"FOSL2"
"MA1144.1","FOSL2::JUND",0.464479108446959,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,1.11642145947387,0.0267171782287447,"FOSL2"
"MA1147.1","NR4A2::RXRA",0.252101855848639,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.725667831787121,0.441255409887344,"NR4A2"
"MA0693.2","VDR",0.254006227715923,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-1.27913553121649,0.165303952902181,"VDR"
"MA1419.1","IRF4",0.501738792913463,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,-0.400228479677541,0.767396072927768,"IRF4"
"MA1421.1","TCF7L1",0.384582653600337,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.338994531026588,0.198906743125843,"TCF7L1"
"MA1484.1","ETS2",0.191806425627982,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.674127128136689,0.0922964823216519,"ETS2"
"MA1493.1","HES6",0.301120390505703,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.105123575210707,0.770635997560336,"HES6"
"MA1495.1","HOXA1",0.54417782208467,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.243878473632861,0.65411316189125,"HOXA1"
"MA1504.1","HOXC4",0.607340325512773,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.261044970371513,0.407017229736867,"HOXC4"
"MA1507.1","HOXD4",0.494416226710829,0.0476137673374241,"medulla_early","up","promoter",FALSE,0.896161397677476,0.483570598619661,0.213038368541866,"HOXD4"
